CSDUID,LOCAL_YEAR,POP
1001519,2018,111161
1001485,2018,27158
1001542,2018,23225
1001517,2018,22546
1005018,2018,19558
1006017,2018,14318
1006009,2018,12041
1001504,2018,8472
1010025,2018,8242
1001509,2018,8156
1010032,2018,7233
1004019,2018,6602
1007013,2018,6428
1001409,2018,6129
1002024,2018,5275
1005004,2018,5378
1001370,2018,4904
1003034,2018,4041
1005012,2018,3792
1001240,2018,3528
1007023,2018,3446
1008044,2018,3420
1006019,2018,3091
1008008,2018,3083
1001379,2018,2921
1008061,2018,2948
1001304,2018,2936
1006022,2018,2836
1001396,2018,2649
1007031,2018,2662
1009021,2018,2508
1001472,2018,2767
1002005,2018,2249
1002019,2018,2287
1009029,2018,2192
1001511,2018,2285
1008099,2018,2199
1008035,2018,2123
1007060,2018,2169
1001494,2018,2176
1001505,2018,2118
1007044,2018,2080
1004020,2018,2015
1007047,2018,1970
1004022,2018,1940
1007001,2018,1954
1010034,2018,1968
1008031,2018,1877
1001339,2018,1781
1007022,2018,1762
1001365,2018,1816
1004001,2018,1664
1004018,2018,1673
1001507,2018,1761
1005017,2018,1759
1003008,2018,1601
1001559,2018,1659
1001124,2018,1671
1005020,2018,1657
1001429,2018,1542
1001385,2018,1576
1001557,2018,1551
1010802,2018,1528
1005030,2018,1528
1002018,2018,1340
1008079,2018,1293
1003028,2018,1268
1007009,2018,1273
1007006,2018,1220
1004013,2018,1220
1002008,2018,1172
1003019,2018,1159
1004006,2018,1158
1007050,2018,1124
1011035,2018,1116
1001293,2018,1164
1001421,2018,1092
1001469,2018,1030
1009007,2018,989
1008006,2018,983
1008054,2018,974
1003801,2018,985
1007049,2018,962
1001551,2018,1038
1001270,2018,969
1010801,2018,1012
1009013,2018,962
1008042,2018,928
1001415,2018,972
1008033,2018,891
1001298,2018,872
1008076,2018,844
1004016,2018,816
1004033,2018,813
1007028,2018,824
1005010,2018,907
1006021,2018,835
1008060,2018,808
1009022,2018,786
1006012,2018,786
1005033,2018,752
1004011,2018,757
1003018,2018,691
1001437,2018,715
1008011,2018,732
1006003,2018,742
1001446,2018,704
1010029,2018,700
1006026,2018,709
1003031,2018,667
1008043,2018,705
1005023,2018,681
1001461,2018,684
1006014,2018,637
1001361,2018,674
1009019,2018,639
1001312,2018,676
1009012,2018,674
1007057,2018,650
1001285,2018,651
1003032,2018,644
1008069,2018,642
1001259,2018,680
1001452,2018,732
1001456,2018,661
1001434,2018,657
1001464,2018,652
1009031,2018,640
1001343,2018,640
1006031,2018,646
1002011,2018,606
1003033,2018,608
1005025,2018,515
1009032,2018,582
1005014,2018,595
1008049,2018,555
1003003,2018,589
1011030,2018,621
1006011,2018,574
1004021,2018,571
1001426,2018,577
1002021,2018,545
1002031,2018,585
1007032,2018,552
1006001,2018,564
1010002,2018,593
1002048,2018,530
1009010,2018,546
1008038,2018,530
1010022,2018,556
1001321,2018,554
1002002,2018,485
1008046,2018,499
1005022,2018,542
1009004,2018,533
1005024,2018,520
1001203,2018,515
1005009,2018,522
1008004,2018,498
1007042,2018,483
1001126,2018,502
1007036,2018,483
1002036,2018,498
1008059,2018,485
1001113,2018,485
1008072,2018,468
1005003,2018,478
1001512,2018,449
1004037,2018,525
1007014,2018,473
1001289,2018,455
1001332,2018,447
1008037,2018,434
1004042,2018,430
1005011,2018,447
1003026,2018,418
1008058,2018,428
1001155,2018,441
1005008,2018,462
1002041,2018,424
1008036,2018,448
1010012,2018,429
1006015,2018,429
1009016,2018,436
1003011,2018,410
1010009,2018,414
1001149,2018,419
1005015,2018,414
1010005,2018,418
1008039,2018,406
1001375,2018,403
1001277,2018,433
1002023,2018,378
1003045,2018,364
1001267,2018,391
1001347,2018,396
1001357,2018,395
1001352,2018,393
1011020,2018,428
1001308,2018,376
1001441,2018,335
1003004,2018,380
1010008,2018,372
1001234,2018,388
1001197,2018,351
1001178,2018,349
1005035,2018,358
1007024,2018,340
1009017,2018,343
1010011,2018,338
1007016,2018,338
1001325,2018,342
